...1,AphiaID_host,scientificname,valid_AphiaID,valid_name,isMarine,isBrackish,isFreshwater,taxon_path
1232,217338,Carcharhinus floridianus,105789,Carcharhinus falciformis,1,0,0,Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Carcharhinidae|Carcharhinus|Carcharhinus falciformis
1925,214581,Gaterin lineatus,214581,Gaterin lineatus,1,0,0,Animalia|Chordata|Teleostei|Eupercaria incertae sedis|Haemulidae|Gaterin|Gaterin lineatus
2646,324325,Stizostedion vitreum glaucum,275311,Sander vitreus,0,0,1,Animalia|Chordata|Teleostei|Perciformes|Percidae|Stizostedion|Sander vitreus
2651,1417036,Apomotis cyanellus,1022845,Lepomis cyanellus,0,0,1,Animalia|Chordata|Teleostei|Centrarchiformes|Centrarchidae|Apomotis|Lepomis cyanellus
2963,314985,Mystus seenghala,282836,Sperata seenghala,0,0,1,Animalia|Chordata|Teleostei|Siluriformes|Bagridae|Mystus|Sperata seenghala
3547,212807,Chromis lepidurus,212810,Chromis ternatensis,1,0,0,Animalia|Chordata|Teleostei|Ovalentaria incertae sedis|Pomacentridae|Chromis|Chromis ternatensis
3651,219952,Gastrophysus lunaris,219952,Gastrophysus lunaris,1,0,0,Animalia|Chordata|Teleostei|Tetraodontiformes|Tetraodontidae|Gastrophysus|Gastrophysus lunaris
3682,298328,Synaphobranchus pinnatus,298328,Synaphobranchus brevidorsalis ,1,0,0,Animalia|Chordata|Teleostei|Anguilliformes|Synaphobranchidae|Synaphobranchus|Synaphobranchus pinnatus
4039,151381,Stromateus (Pampus),126089,Pampus,1,0,0,Animalia|Chordata|Teleostei|Scombriformes|Stromateidae|Stromateus|Pampus
4119,314963,Monotretus cutcutia,1022504,Leiodon cutcutia,0,0,1,Animalia|Chordata|Teleostei|Tetraodontiformes|Tetraodontidae|Monotretus|Leiodon cutcutia
4134,218800,Glyphisodon saxatilis,159288,Abudefduf saxatilis,1,0,0,Animalia|Chordata|Teleostei|Ovalentaria incertae sedis|Pomacentridae|Glyphisodon|Abudefduf saxatilis
4221,319389,Mollienisia sphenops,275351,Poecilia sphenops,0,0,1,Animalia|Chordata|Teleostei|Cyprinodontiformes|Poeciliidae|Mollienisia|Poecilia sphenops
4597,319007,Macrones seenghala,282836,Sperata seenghala,0,0,1,Animalia|Chordata|Teleostei|Siluriformes|Sisoridae|Macrones|Sperata seenghala
